loss_ratio,cost_ratio,class_fn,decision_fn,data_bal,threshold,cost,cost_std,loss,loss_std,recall,recall_std,precision,precision_std,f1,f1_std,fbeta,fbeta_std
5,0.2,majority_voting,decision_function_mv,0.3,0.95,600.0,0.0,0.344,0.029,0.845,0.018,0.696,0.019,0.7632965606748865,0,0.8380992052617157,0
5,0.2,majority_voting,decision_function_mv,0.1,0.7,819.224,8.525,0.16,0.017,0.936,0.024,0.423,0.022,0.5826754966887417,0,0.8942861610633308,0
5,0.2,majority_voting,decision_function_mv,0.1,0.8,829.24,8.427,0.262,0.018,0.947,0.022,0.287,0.013,0.4405008103727714,0,0.8700460477714849,0
5,0.2,majority_voting,decision_function_mv,0.1,0.9,600.0,0.0,0.218,0.019,0.842,0.027,0.379,0.021,0.5227158067158068,0,0.804213240283028,0
5,0.2,majority_voting,decision_function_mv,0.1,0.95,600.0,0.0,0.221,0.019,0.838,0.034,0.375,0.02,0.5181368507831822,0,0.8000097914422796,0
5,0.2,majority_voting,decision_function_bayes,0.5,0.7,600.0,0.0,0.481,0.037,0.84,0.014,0.837,0.011,0.8384973166368515,0,0.8398842177808407,0
5,0.2,majority_voting,decision_function_bayes,0.5,0.8,934.58,8.737,0.155,0.019,0.97,0.008,0.859,0.009,0.9111317659923455,0,0.9652029405212742,0
5,0.2,majority_voting,decision_function_bayes,0.5,0.9,869.52,36.776,0.203,0.033,0.959,0.014,0.826,0.014,0.8875450980392156,0,0.9530975056689343,0
5,0.2,majority_voting,decision_function_bayes,0.5,0.95,775.74,41.348,0.225,0.028,0.963,0.01,0.784,0.012,0.8643297080709789,0,0.9546171278509943,0
5,0.2,majority_voting,decision_function_bayes,0.3,0.7,600.0,0.0,0.367,0.035,0.829,0.02,0.694,0.021,0.7555167432698621,0,0.8228437207767203,0
5,0.2,majority_voting,decision_function_bayes,0.3,0.8,930.5,20.18,0.176,0.016,0.965,0.011,0.701,0.018,0.8120828331332534,0,0.9512217414818821,0
5,0.2,majority_voting,decision_function_bayes,0.3,0.9,871.58,40.325,0.215,0.016,0.957,0.012,0.657,0.015,0.7791189591078067,0,0.9404829133586466,0
5,0.2,majority_voting,decision_function_bayes,0.3,0.95,770.34,45.002,0.254,0.022,0.959,0.018,0.6,0.011,0.738165490699166,0,0.9374271570900432,0
5,0.2,majority_voting,decision_function_bayes,0.1,0.7,600.0,0.0,0.217,0.021,0.844,0.037,0.378,0.016,0.5221472995090016,0,0.8057928890615893,0
5,0.2,majority_voting,decision_function_bayes,0.1,0.8,926.42,11.686,0.166,0.006,0.963,0.025,0.395,0.01,0.5602135493372606,0,0.9125309097619486,0
5,0.2,majority_voting,decision_function_bayes,0.1,0.9,845.2,16.218,0.227,0.029,0.956,0.016,0.32,0.024,0.4794984326018808,0,0.8881107637338098,0
5,0.2,majority_voting,decision_function_bayes,0.1,0.95,758.36,42.252,0.272,0.027,0.949,0.043,0.278,0.015,0.4300277098614507,0,0.8683848588428915,0
